regulations,regions,links,file_paths
General Data Protection Regulation (GDPR),European Union,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016L0680,
California Consumer Privacy Act (CCPA),California,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,
Personal Information Protection and Electronic Documents Act (PIPEDA),Canada,https://laws-lois.justice.gc.ca/ENG/ACTS/P-8.6/FullText.html,
The Australian Privacy Principles,Australia,https://www.oaic.gov.au/privacy/australian-privacy-principles/read-the-australian-privacy-principles,
Data Protection Act 2018,United Kingdom,https://www.legislation.gov.uk/ukpga/2018/12/contents,./data/regulations/Data Protection Act 2018-UK.pdf
APPI (Act on the Protection of Personal Information),Japan,https://www.japaneselawtranslation.go.jp/en/laws/view/4241/en,
PIPA (Personal Information Protection Act),South Korea,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=213857&viewCls=engLsInfoR&urlMode=engLsInfoR#0000,./data/regulations/PIPA-South Korea.pdf
LGPD (Brazilian General Data Protection Law),Brazil,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/L13709compilado.htm,./data/regulations/LGPD-Brazil.pdf
DPDP Act (Digital Personal Data Protection Act),India,https://meity.gov.in/writereaddata/files/Digital%20Personal%20Data%20Protection%20Act%202023.pdf,./data/regulations/DPDP - Inida.pdf
POPIA (Protection of Personal Information Act),South Africa,https://popia.co.za/,./data/regulations/POPIA-South Africa.pdf
PDPA (Personal Data Protection Act),Singapore,https://sso.agc.gov.sg/Act/PDPA2012,./data/regulations/PDPA-Singapore.pdf
